시도,매장수,인구,10만명당_매장수
전북특별자치도,32,1718633,1.8619449294875636
서울특별시,114,9289813,1.2271506433983117
충청북도,18,1600787,1.1244469126748282
울산광역시,12,1087089,1.1038654608776282
제주특별자치도,7,662792,1.056138275658125
세종특별자치시,4,390923,1.0232194063792615
충청남도,21,2138785,0.9818658724462721
대전광역시,14,1442034,0.9708508953325651
강원특별자치도,14,1507217,0.9288642577677934
광주광역시,11,1385460,0.7939601287658973
부산광역시,25,3232370,0.7734263094880847
대구광역시,17,2348165,0.7239695677262884
전라남도,12,1773646,0.6765724389196041
경기도,92,13761783,0.668518025607583
경상남도,20,3195351,0.625909328896888
인천광역시,19,3061002,0.620711779998837
경상북도,14,2495919,0.5609156386885953
